#	
# Dickensian Names	
#	
	
;Start	
1	[Male First] [Last Name Prefix][Last Name Suffix]
1	[Female First] [Last Name Prefix][Last Name Suffix]
	
:Male First	
1	Adalbert
2	Adolphus
3	Ajax
4	Alaric
5	Alfie
6	Allan
7	Ambrosius
8	Amias
9	Amory
10	Artemus
11	Arthur
12	Athanias
13	Badger
14	Balthazar
15	Barron
16	Bartholemew
17	Beauregarde
18	Benedict
19	Benjamin
20	Bentley
21	Bertram
22	Charlie
23	Clarence
24	Clement
25	Constant
26	Cyril
27	Cyrus
28	Dexter
29	Dick
30	Dobby
31	Doddy
32	Dr. [Male First]
33	Edgar
34	Edwin
35	Eleazar
36	Elias
37	Ellis
38	Elmer
39	Ely
40	Ephraim
41	Ernest
42	Fitz
43	Fitzjohn
44	Floppy
45	Frebert
46	Frederick
47	Garish
48	Gerald
49	Gib
50	Gibby
51	Gilbert
52	Gunter
53	Gustav
54	Hank
55	Harry
56	Henry
57	Hepsibah
58	Heracles
59	Herbert
60	Hezekiah
61	Hiram
62	Hod
63	Hodge
64	Horace
65	Hovald
66	Hubert
67	Hubert
68	Humbert
69	Humphrey
70	Isidore
71	Jack
72	James
73	Jarvis
74	Jasper
75	Jem
76	Jerrold
77	Jo[Last Name Suffix]
78	John
79	John St.
80	Jonas
81	Josias
82	Joss
83	Kit
84	Latch
85	Lodge
86	Lord [Male First]
87	Luke
88	Marcus
89	Marius
90	Martin
91	Maximus
92	Mayor [Male First]
93	Meriwether
94	Moore
95	Morris
96	Moulder
97	Nat[Last Name Suffix]
98	Nathaniel
99	Nobby
100	Nod
101	North
102	Nudge
103	Octavius
104	Orrin
105	Ottavo
106	Parrish
107	Peckle
108	Pip
109	Pugsley
110	Ralph
111	Ramsey
112	Randy
113	Renny
114	Reverend
115	Richard
116	Rip
117	Robert
118	Royal
119	Rufus
120	Rumsford
121	Samuel
122	Septimus
123	Silas
124	Simon
125	Sir [Male First]
126	Terrence
127	Theodore
128	Theodoric
129	Thorpe
130	Tip
131	Tobias
132	Toby
133	Tolliver
134	Tolly
135	Tom
136	Tommy
137	Treacle
138	Tripp
139	Tully
140	Ulfrick
141	Victor
142	Virgilius
143	Walter
144	Wat[Last Name Suffix]
145	Watkin
146	Wenslow
147	Wesley
148	Will
149	Winslow
150	Zechariah
151	[Last Name Prefix][Last Name Suffix]
	
;Female First	
1	Addie
1	Adeline
1	Agatha
1	Aggie
1	Agnes
1	Alice
1	Amelia
1	Amity
1	Anastasia
1	Annabel
1	Annie
1	Aphrodite
1	Arabella
1	Aurelia
1	Beatrice
1	Bess
1	Betsy
1	Cecily
1	Clara
1	Clarinda
1	Clarissa
1	Clary
1	Clella
1	Constancy
1	Cora
1	Cordelia
1	Cornucopia
1	Dolly
1	Dora
1	Dotty
1	Effie
1	Eldora
1	Ellie
1	Elsie
1	Emily
1	Emmy
1	Ermengarde
1	Ermina
1	Ernestine
1	Esmeralda
1	Essie
1	Estie
1	Etty
1	Eudora
1	Eudosia
1	Eugenia
1	Euphemia
1	Eveny
1	Fanny
1	Flora
1	Florrie
1	Flossie
1	Garnet
1	Hattie
1	Helena
1	Herminia
1	Hermione
1	Hortense
1	India
1	Isabelle
1	Jemima
1	Jenny
1	Jilly
1	Kate
1	Kitty
1	Lady
1	Lavinia
1	Letty
1	Lillie
1	Little
1	Liza
1	Lizzy
1	Lottie
1	Lucinda
1	Lucretia
1	Lucy
1	Maggie
1	Maisie
1	Mamie
1	Marian
1	Mary
1	Maude
1	May
1	Mercenaria
1	Milly
1	Mimsy
1	Minnie
1	Miss
1	Mollie
1	Myra
1,Nelly	
1	Netty
1	Ninette
1	Nonny
1	Nora
1	Olivetta
1	Penelope
1	Perfidia
1	Philomela
1	Philomena
1	Polly
1	Priscilla
1	Prudence
1	Prunella
1	Rilly
1	Rose
1	Rosie
1	Sadie
1	Sairy
1	Sally
1	Sophronia
1	Tabby
1	Tabitha
1	Tatty
1	Tessie
1	Tetty
1	Theodocia
1	Theodora
1	Thistley
1	Tibby
1	Tibby
1	Tilly
1	Tolly
1	Totty
1	Vera
1	Victoria
1	Viola
1	Violet
1	Violetta
	
	
:Last Name Prefix	
1	Abert
2	Abin
3	Adley
4	Ambrug
5	Anberg
6	Ardge
7	Arf
8	Arm
9	Armun
10	Ash
11	Bagg
12	Bar
13	Bark
14	Bartle
15	Bath
16	Beat
17	Beck
18	Bedd
19	Beed
20	Beer
21	Beet
22	Begg
23	Bern
24	Bet
25	Biddle
26	Bigg
27	Black
28	Blather
29	Blyte
30	Blythe
31	Boot
32	Bor
33	Bordle
34	Born
35	Botch
36	Brattle
37	Briddle
38	Brindle
39	Bron
40	Brum
41	Brundle
42	Brunt
43	Budd
44	Buddle
45	Bugg
46	Bughe
47	Bumm
48	Bump
49	Bun
50	Bung
51	Bunk
52	Bunt
53	Bust
54	Butt
55	Bydle
56	Cask
57	Cat
58	Catch
59	Caulk
60	Cerdle
61	Chalk
62	Char
63	Chil
64	Clatch
65	Codd
66	Copp
67	Copple
68	Cowple
69	Cox
70	Cramp
71	Crash
72	Crimp
73	Crimp
74	Crimple
75	Crotch
76	Crow
77	Crump
78	Crumple
79	Cuffle
80	Cumber
81	Cumple
82	Curd
83	Curf
84	Curfle
85	Daggle
86	Dash
87	Deckle
88	Deggle
89	Derf
90	Dickle
91	Digg
92	Diggle
93	Dimple
94	Dink
95	Dith
96	Dith
97	Dizz
98	Dogg
99	Donk
100	Drimple
101	Dropp
102	Drum
103	Drum
104	Drump
105	Drumple
106	Dunk
107	Durst
108	Dyre
109	East
110	Eat
111	Edel
112	Egg
113	Egg
114	Eggle
115	Fatt
116	Feather
117	Felch
118	Fist
119	Flan
120	Flem
121	Flemp
122	Flenk
123	Flez
124	Flimple
125	Flink
126	Flint
